class,finger1x,finger1y,finger1z,finger2x,finger2y,finger2z,finger3x,finger3y,finger3z,finger4x,finger4y,finger4z,finger5x,finger5y,finger5z
1,-53.659,20.3174,57.8501,-69.6276,33.9315,52.1396,-95.8776,79.0224,0.793533,-81.2669,103.621,7.74802,-59.5182,122.412,33.3147
1,-53.963,20.7544,57.897,-69.6054,34.6103,52.6228,-96.1293,79.5794,0.366655,-81.2454,105.349,7.94035,-58.8253,123.172,33.8898
1,-53.9963,21.1609,57.7753,-69.2764,35.2469,52.9085,-96.1786,79.4533,0.19609,-81.0416,106.531,8.10331,-58.4594,123.722,34.2325
1,-54.5095,22.7701,59.0902,-69.251,37.147,54.5127,-96.1356,79.3979,0.0877982,-80.5299,108.153,7.77911,-57.8615,124.886,33.6368
1,-55.3223,25.2438,61.3426,-69.329,39.6994,56.985,-96.5092,79.1681,0.100144,-81.1937,110.045,7.64743,-57.8335,126.117,32.5508
1,-56.1303,27.0734,63.0509,-69.3692,41.4213,58.7947,-96.883,79.1093,0.357232,-81.294,112.041,8.98005,-57.6888,127.293,32.1031
1,-62.5894,32.7474,58.768,-73.4587,47.6582,53.0083,-97.1931,81.4129,2.86162,-82.7355,112.446,14.5306,-58.8044,127.437,32.9878
1,-76.7179,47.9428,42.3873,-79.1315,60.5729,39.3756,-95.0809,85.8538,8.52712,-80.8641,111.2,21.0163,-59.8765,122.379,34.4625
1,-85.8351,58.8001,29.3978,-82.6295,70.1134,29.9103,-91.5889,87.6365,14.6691,-76.9473,108.566,27.7408,-56.5216,113.002,39.3311
1,-91.4288,65.5879,21.2267,-85.1603,77.4194,23.551,-88.2429,88.169,19.8563,-72.995,105.86,33.59,-52.5771,106.864,43.9738
1,-95.1359,70.2019,15.9392,-87.1794,83.5095,18.9244,-85.4814,88.3192,24.1003,-69.9096,103.748,38.1275,-50.675,104.359,46.8141
1,-97.9285,73.8221,12.4304,-88.8589,89.1215,16.0087,-83.4944,88.3972,27.3136,-67.8824,102.371,41.4082,-49.9427,103.581,48.8459
1,-99.9709,76.6978,10.2237,-89.1362,92.7236,14.9424,-81.818,88.5312,29.9176,-66.1748,101.483,43.9031,-48.8858,103.279,50.0257
